time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0026405003891494e-07,5.787636191139623e-07,10.00583784643235,0.0004321397572937258,6.283008539600665,0.0,1.2703822978263867e-05,4.7739351516892e-05,0.19458108481627862,0.01869496761567932,-0.009608106185126943,0.0,467.15739487206844,466.4077926278517,464.3728088251397,465.8366421763336
0.12000000000000001,7.275403768999481e-06,2.071189828052096e-05,10.025116349418385,0.002230571888974353,6.282932033880275,0.0,0.0002624875778948923,0.0008133069528364182,0.44797021922712366,0.04621681195538867,0.01163221764952307,0.0,482.6162689352434,484.2165449689255,481.9263817691675,484.0020049699911
0.18,2.5549065994148293e-05,0.00012344084841765245,10.053994146336546,0.004988061766759699,0.0002516512336807608,0.0,0.0002873458427843526,0.0028793307586761257,0.5145940501788129,0.0454359555909634,0.001048149099121579,0.0,426.3452287071699,425.4400056222799,426.9464406092047,426.8811608727345
0.23999999999999996,3.691837784241797e-05,0.00041831981545506524,10.089285688849804,0.008338285815939095,0.0003803599418352732,0.0,8.111725371589175e-05,0.007286674487637652,0.661714490723339,0.07113077753043907,0.00425366826883117,0.0,451.310126541001,451.56869775924565,451.33593249193706,453.40660198828243
0.3,3.2520601285481726e-05,0.0010560291546780664,10.133216072665716,0.013149898908321411,0.000386029635214058,0.0,-0.0002435707123032358,0.014464705481388314,0.8025379443756185,0.09396486278515788,-0.009892039441373839,0.0,451.06860669084693,449.9249676339956,448.87152342006056,450.7253894092256
0.36000000000000004,1.120020120303742e-05,0.002257611415658024,10.187200988241797,0.019015810735004912,6.283173689368551,0.0,-0.000410392869165618,0.026253943326170513,0.9967996827480482,0.10444515685234124,-0.0007886780752509419,0.0,465.70009243207625,466.41161739811355,466.6355019995929,467.46042818949087
0.4200000000000001,-1.3408217062707355e-05,0.004243799165801205,10.24970889890222,0.025448409960030283,0.00030209005685488677,0.0,-0.0004254030294354974,0.040589337032571796,1.0867020090706487,0.11223011810133589,0.01514705063490801,0.0,433.32684177163156,434.6641622128078,435.16991094529726,435.8313154741363
0.48000000000000015,-5.206005809986774e-05,0.007430407392619316,10.325392961932472,0.0320500587957353,0.0009322979044856794,0.0,-0.0009727063679579077,0.06654733108007835,1.4357026786911518,0.10521637054994527,-0.0009406582794176778,0.0,511.1398137315188,509.99204033766057,511.879694737457,511.38933226803806
0.5400000000000001,-0.00012884052134953084,0.012086963354405057,10.413853132302805,0.03811725773586172,0.0008662769066747344,0.0,-0.0015805101432168358,0.08927978499758628,1.512848460000888,0.09132706880280045,-0.001421687483705139,0.0,432.0846801336116,432.0441531651238,432.06593735263186,430.90256768063
0.6000000000000002,-0.0002446248522995806,0.018348673871984418,10.51007377667862,0.043101729947947476,0.001595431652703816,0.0,-0.0023252821460752545,0.12004198704776213,1.6942290642718385,0.05644290260426835,0.030701957999318304,0.0,462.683668113205,465.20559481213473,466.226483474792,463.49808048740243
0.6600000000000003,-0.0004274471682312291,0.02652250453354658,10.616267705161386,0.04659615603683509,0.003690124605554068,0.0,-0.0039853975119804015,0.15278549204485498,1.8453172182273252,0.0616114231466437,0.04222297494727583,0.0,455.7343893073305,456.65474067295406,455.2462461693699,455.66184979891955
0.7200000000000003,-0.0007467340910594824,0.03660014833687314,10.728577327929607,0.05021919533197661,0.005827629021009528,0.0,-0.006884267596416286,0.18347896842569852,1.8982298205673234,0.05780982031853493,0.017225550673284882,0.0,426.6700625572683,424.5312602581415,425.24590757580876,424.92292047604167
0.7800000000000004,-0.0012701047360570961,0.04854050740742411,10.84312253035063,0.05344321660462281,0.006805069179946166,0.0,-0.010652261183955862,0.21483401643205996,1.919887949289979,0.04399444249348156,0.014352214620278284,0.0,416.10410335056247,415.8524324968949,415.0719579618089,413.85991116814995
0.8400000000000004,-0.00205314682393489,0.06254464267913555,10.96130258508046,0.05624944235640239,0.007400155701084543,0.0,-0.015524199729587502,0.2522377341793147,2.0192568824767645,0.05181149683636507,-0.0008849605440229644,0.0,441.45577622120425,440.1966542901764,440.1499913068964,440.79773447711807
0.9000000000000005,-0.0031733433431427776,0.07912966846764044,11.09030979757513,0.05968998119743674,0.007223870530983056,0.0,-0.021798054367942937,0.30098132868325517,2.2804695921033042,0.06658190502726412,-0.0073981659626280935,0.0,489.54599684493087,489.06120275183594,489.2758677749597,490.3761187649511
0.9600000000000005,-0.004632751938928331,0.09847083742612836,11.230670638343803,0.06458815739700885,0.006549250888021163,0.0,-0.026790024163974527,0.3441833052958737,2.397949814704681,0.1015444240385531,-0.020327649848006318,0.0,448.4243691340252,447.3729872217676,446.41700111528,449.26562846278244
1.0200000000000005,-0.006373614143731876,0.12049927974229062,11.377844060011281,0.0703621232513214,0.005853549906279731,0.0,-0.031142170108562912,0.39069681950127255,2.50754671673965,0.08264121848898845,0.00179243400888149,0.0,445.34123317677097,447.1469187726393,446.55230171671946,445.01540374171617
1.0800000000000005,-0.008392544055226272,0.14576367311275212,11.536193186800784,0.07526083461190147,0.005843992047051216,0.0,-0.03615850750168457,0.45202447035508536,2.7701004619660186,0.07957612499046647,-0.004380697169842211,0.0,492.6777023206928,492.2210927606758,491.9523868814827,491.73007847713933
1.1400000000000006,-0.010693707033075601,0.17460920032495883,11.707371559736405,0.08009946746724861,0.005686339895734527,0.0,-0.0405211840551823,0.5099941931236167,2.9353793593542474,0.08269693485285615,0.0006667245525181101,0.0,464.7149799952662,465.11050464293123,465.1073719312704,465.35664459471343
